poi1,poi2,cost
683,682,23731.82141
411,408,36830.19251
411,401,25432.15169
408,401,23869.42222
410,408,19223.71601
410,411,31335.56561
408,411,36830.19251
681,683,25224.26609
408,409,33022.39885
408,401,23869.42222
409,401,29551.93106
131,681,30877.76422
410,400,36659.17473
410,408,19223.71601
400,408,28801.9061
400,402,10797.21516
400,408,28801.9061
402,408,26595.6812
406,407,22023.43811
406,409,28178.38892
407,409,12304.8751
402,409,38169.16682
402,408,26595.6812
409,408,33022.39885
683,685,33469.53569
683,682,23731.82141
685,682,17662.04046
402,406,23487.31629
402,409,38169.16682
406,409,28178.38892
136,133,45466.16528
136,129,26065.20507
133,129,21514.82496
136,134,17807.3243
136,133,45466.16528
134,133,60984.04186
685,688,50939.70543
685,682,17662.04046
688,682,65220.07292
526,683,48457.06968
526,681,42343.40213
683,681,25224.26609
134,133,60984.04186
529,681,51051.36758
529,131,39197.36735
681,131,30877.76422
529,526,30083.4914
529,681,51051.36758
526,681,42343.40213
407,409,12304.8751
411,410,31335.56561
132,129,40935.20541
132,133,31618.53727
129,133,21514.82496
525,526,20724.18349
525,529,14789.83999
526,529,30083.4914
44,51,37022.10121
51,410,71402.99414
127,529,36037.35685
127,131,40548.62762
529,131,39197.36735
51,400,50915.25955
51,410,71402.99414
400,410,36659.17473
526,685,53071.13563
526,683,48457.06968
685,683,33469.53569
575,574,25671.31192
575,407,74884.9135
401,409,29551.93106
132,128,49369.2597
132,129,40935.20541
128,129,37499.00878
688,682,65220.07292
133,132,31618.53727
687,688,42745.74625
687,685,42506.10729
688,685,50939.70543
401,411,25432.15169
787,792,36329.36232
405,407,49867.41132
405,406,33784.64679
407,406,22023.43811
696,692,47634.09761
696,699,47617.3098
402,403,44591.49472
402,406,23487.31629
403,406,40420.61682
699,693,58408.75696
693,132,46239.50299
403,405,20908.05857
403,406,40420.61682
405,406,33784.64679
526,687,49971.94233
526,685,53071.13563
687,685,42506.10729
691,693,38258.48152
691,699,23682.75589
693,699,58408.75696
375,574,46590.8047
127,131,40548.62762
636,525,22362.62094
636,529,23149.46034
525,529,14789.83999
128,136,44476.26013
128,129,37499.00878
136,129,26065.20507
378,375,33061.04108
378,574,18987.78618
375,574,46590.8047
400,403,47604.89513
400,402,10797.21516
403,402,44591.49472
576,577,16786.51684
576,575,24441.18327
577,575,12179.03467
577,574,29195.70302
577,575,12179.03467
574,575,25671.31192
127,636,44458.8152
127,529,36037.35685
636,529,23149.46034
684,688,39144.68822
405,575,62624.53257
405,407,49867.41132
575,407,74884.9135
693,128,52697.26904
693,132,46239.50299
128,132,49369.2597
400,404,57874.88183
400,403,47604.89513
404,403,23809.95869
405,576,51533.91812
405,575,62624.53257
576,575,24441.18327
44,50,39515.63567
44,51,37022.10121
50,51,35898.06038
375,796,49595.21072
796,787,48702.0574
686,684,34654.79159
373,574,36123.18864
373,577,20347.26559
574,577,29195.70302
48,50,24138.45358
48,44,28498.54495
50,44,39515.63567
127,625,49689.65603
127,636,44458.8152
625,636,15181.95959
371,576,32325.34971
371,405,30869.91084
576,405,51533.91812
378,376,30649.79234
378,375,33061.04108
376,375,24708.39889
130,625,39666.77944
130,127,29896.03509
625,127,49689.65603
694,691,27009.05667
694,699,24859.50358
691,699,23682.75589
373,378,31203.58688
373,574,36123.18864
378,574,18987.78618
691,272,33454.9212
691,693,38258.48152
272,693,36276.8193
51,404,56396.90487
51,400,50915.25955
404,400,57874.88183
41,404,33978.396
41,51,38772.32308
404,51,56396.90487
238,128,47671.56913
238,693,43297.54852
128,693,52697.26904
128,135,45486.06535
128,136,44476.26013
135,136,62063.83487
788,796,27169.59696
788,375,34067.65064
796,375,49595.21072
137,130,70199.92339
130,127,29896.03509
686,689,39104.95167
689,44,59996.47109
689,48,38425.12254
689,44,59996.47109
48,44,28498.54495
696,700,38445.52517
696,699,47617.3098
700,699,40535.0295
744,405,37784.64086
744,403,28355.20401
405,403,20908.05857
636,527,34963.99347
636,525,22362.62094
527,525,42865.47576
404,744,25066.08325
404,403,23809.95869
744,403,28355.20401
139,137,34028.38849
138,139,37842.00992
138,134,53469.99397
